timestamp,ax,ay,az,gx,gy,gz,p1,p2
8468,5.22,7.1,-4.73,-0.24,0.73,0.18,21,17
8490,5.6,7.3,-5.3,-0.03,0.46,-0.05,25,13
8512,5.25,7.34,-6.08,-0.26,0.26,-0.3,25,15
8534,4.02,10.05,-3.04,-0.1,0.19,-0.08,25,18
8556,5.08,7.15,-5.09,-0.03,-0.16,-0.04,22,20
8578,5.71,7.26,-6.83,-0.09,-0.22,-0.17,22,19
8600,4.26,7.18,-5.82,-0.06,-0.17,-0.07,22,17
8622,4.27,7.34,-6.18,-0.16,-0.18,0.07,20,18
8644,4.72,7.42,-5.74,-0.09,-0.03,0.27,20,16
8666,4.94,7.13,-5.9,-0.02,0.1,0.26,18,24
8688,3.61,7.1,-5.8,0.02,0.35,0.39,27,20
8710,4.13,6.78,-6.1,0.22,0.67,0.51,24,16
8732,5.83,7.09,-5.85,0.21,0.51,0.34,22,12
8754,6.36,7.45,-5.59,0.07,0.22,-0.02,22,10
8776,5.15,7.35,-5.38,0.1,-0.02,-0.3,21,9
8798,5.55,7.94,-5.97,-0.05,-0.37,-0.46,21,17
8820,5.08,7.57,-5.58,-0.24,-0.63,-0.59,21,30
8842,4.4,7.33,-6.27,-0.32,-0.61,-0.67,21,23
8864,4.32,7.38,-6.33,-0.37,-0.56,-0.53,21,37
8886,3.71,5.92,-5.88,-0.48,-0.76,-0.71,18,25
8908,5.8,10.67,-5.95,-0.21,0.03,-0.54,23,26
8930,3.47,7.44,-5.44,-0.08,0.06,-0.04,21,29
8952,5.81,7.29,-5.53,0.02,0.02,0.02,22,24
8974,4.23,6.91,-4.91,0.13,0.03,-0.13,20,25
8996,2.52,7.67,-4.6,0.46,0.11,0.27,21,18
9018,3.56,8.31,-4.81,0.87,0.09,0.74,21,10
9040,5.41,6.38,-7.44,0.82,0.12,0.69,18,13
9062,5.7,6.22,-7.92,0.19,0.17,0.13,21,18
9084,4.3,6.65,-7.14,-0.12,0.27,-0.22,22,12
